SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022001072,2021-05-16T00:00:00,NOP vs. LAL,L,36.73833333333334,5,15,0.333,2,8,0.25,2,2,1.0,1,3,4,5,4,1,0,2,0,2,14,-2,25.3,0,0,27.0,1,21,21,21,4,12,6,32,11,7,26,8,10,1,2,16,15,2,3,13,18,38,1,7,11,22,18,1,1,13,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022001059,2021-05-14T00:00:00,NOP @ GSW,L,40.05,11,24,0.458,4,8,0.5,4,7,0.571,1,4,5,4,2,3,1,4,3,4,30,-1,52.0,0,0,51.0,1,21,21,21,1,3,1,19,4,7,10,2,1,17,2,10,6,7,11,1,5,46,33,3,3,20,1,1,1,2,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000154,2021-05-12T00:00:00,NOP @ DAL,L,34.53333333333333,5,14,0.357,1,5,0.2,2,3,0.667,0,2,2,3,2,1,0,0,2,1,13,-25,20.9,0,0,21.0,1,21,21,21,6,12,10,30,22,18,30,8,6,15,13,26,27,13,11,13,18,1,21,20,14,46,23,1,1,22,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022001028,2021-05-10T00:00:00,NOP @ MEM,L,24.0,8,16,0.5,2,7,0.286,0,0,0.0,0,3,3,6,2,1,0,2,4,0,18,6,31.6,0,0,31.0,1,21,21,21,19,4,5,9,11,13,25,23,24,23,13,16,19,1,11,13,18,38,42,32,7,9,7,1,1,10,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022001020,2021-05-09T00:00:00,NOP @ CHA,W,21.033333333333335,5,11,0.455,2,4,0.5,1,2,0.5,1,3,4,3,2,1,0,2,2,2,13,4,23.3,0,0,24.0,1,1,1,1,25,12,20,20,11,25,10,15,10,18,2,16,15,13,11,13,18,38,21,7,14,11,20,1,1,17,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000760,2021-04-04T00:00:00,NOP @ HOU,W,14.283333333333333,2,5,0.4,0,1,0.0,1,2,0.5,0,1,1,0,0,2,1,0,1,1,5,2,15.2,0,0,12.0,1,1,1,1,36,31,33,23,35,38,35,15,10,18,13,30,33,39,32,4,5,1,7,20,36,16,30,1,1,33,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000742,2021-04-02T00:00:00,NOP vs. ATL,L,35.78333333333333,3,15,0.2,2,8,0.25,4,5,0.8,0,3,3,3,3,1,2,2,2,8,12,-14,26.1,0,0,26.0,1,21,21,21,5,23,6,43,11,7,26,2,4,13,13,16,19,13,5,13,2,38,21,1,19,42,16,1,1,15,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000734,2021-04-01T00:00:00,NOP vs. ORL,L,38.5,13,24,0.542,4,7,0.571,1,2,0.5,0,8,8,3,5,1,1,1,3,1,31,6,46.1,0,0,50.0,1,21,21,21,3,2,1,6,4,13,9,15,10,18,13,1,1,13,1,13,5,25,33,20,2,9,3,1,1,3,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000708,2021-03-29T00:00:00,NOP @ BOS,W,33.76833333333333,7,15,0.467,3,9,0.333,0,2,0.0,0,7,7,3,1,0,0,0,3,2,17,17,28.9,0,0,30.0,1,1,1,1,8,6,6,16,7,3,17,23,10,23,13,4,4,13,23,33,18,1,33,7,9,3,12,1,1,11,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000698,2021-03-27T00:00:00,NOP vs. DAL,W,31.583333333333332,7,17,0.412,6,10,0.6,0,0,0.0,0,5,5,1,0,0,1,2,6,1,20,4,30.5,0,0,34.0,1,1,1,1,12,6,4,22,1,1,8,23,24,23,13,6,6,26,32,33,5,38,46,20,4,11,8,1,1,7,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000689,2021-03-26T00:00:00,NOP vs. DEN,L,39.13333333333333,5,13,0.385,4,10,0.4,0,0,0.0,1,4,5,5,3,2,2,3,2,2,14,-6,36.5,0,0,36.0,1,21,21,21,2,12,14,28,4,1,15,23,24,23,2,10,6,2,5,4,2,45,21,7,11,33,5,1,1,4,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000663,2021-03-23T00:00:00,NOP vs. LAL,W,34.083333333333336,7,14,0.5,3,9,0.333,1,2,0.5,1,6,7,3,4,1,0,1,4,2,18,20,29.9,0,0,33.0,1,1,1,1,7,6,10,9,7,3,17,15,10,18,2,5,4,13,3,13,18,25,42,7,7,2,10,1,1,8,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000646,2021-03-21T00:00:00,NOP @ DEN,W,30.89666666666667,8,15,0.533,3,9,0.333,1,1,1.0,2,1,3,1,1,1,2,0,2,1,20,-3,33.1,0,0,33.0,1,1,1,1,13,4,6,8,7,3,17,15,20,1,1,30,19,26,23,13,2,1,21,20,4,26,6,1,1,8,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000629,2021-03-18T00:00:00,NOP @ POR,L,19.458333333333332,2,10,0.2,2,8,0.25,0,0,0.0,0,3,3,1,0,2,1,0,2,1,6,-15,20.1,0,0,18.0,1,21,21,21,29,31,22,43,11,7,26,23,24,23,13,16,19,26,32,4,5,1,21,20,30,43,25,1,1,26,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000614,2021-03-16T00:00:00,NOP @ POR,L,24.68166666666667,7,13,0.538,6,9,0.667,0,0,0.0,0,5,5,1,3,1,1,1,2,0,20,2,30.5,0,0,36.0,1,21,21,21,18,6,14,7,1,3,4,23,24,23,13,6,6,26,5,13,5,25,21,32,4,16,8,1,1,4,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000601,2021-03-14T00:00:00,NOP vs. LAC,W,5.783333333333333,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,2,1,0,1,0,0,2,1,4.2,0,0,5.0,1,1,1,1,42,39,38,32,35,38,35,23,24,23,13,30,33,39,11,13,18,25,1,32,44,19,43,1,1,42,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000581,2021-03-12T00:00:00,NOP vs. CLE,W,23.133333333333333,6,13,0.462,1,5,0.2,2,2,1.0,0,8,8,4,1,0,0,1,3,2,15,14,29.6,0,0,28.0,1,1,1,1,21,10,14,17,22,18,30,8,10,1,13,1,1,7,23,33,18,25,33,7,10,4,11,1,1,12,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000574,2021-03-11T00:00:00,NOP vs. MIN,L,24.783333333333335,4,10,0.4,1,3,0.333,1,1,1.0,1,3,4,2,2,0,1,1,3,2,10,-19,18.8,0,0,19.0,1,21,21,21,17,18,22,23,22,29,17,15,20,1,2,16,15,21,11,33,5,25,33,7,23,45,27,1,1,23,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000557,2021-03-04T00:00:00,NOP vs. MIA,L,23.448333333333334,4,14,0.286,3,7,0.429,2,2,1.0,0,3,3,4,0,1,1,0,0,2,13,-6,28.6,0,0,27.0,1,21,21,21,20,18,10,39,7,13,14,8,10,1,13,16,19,7,32,13,5,1,1,7,14,33,13,1,1,13,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000514,2021-02-27T00:00:00,NOP @ SAS,L,16.583333333333332,2,2,1.0,2,2,1.0,0,0,0.0,0,1,1,3,2,0,0,0,1,0,6,-5,9.7,0,0,12.0,1,21,21,21,34,31,41,1,11,35,1,23,24,23,13,30,33,13,11,33,18,1,7,32,30,30,35,1,1,33,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000494,2021-02-24T00:00:00,NOP vs. DET,W,6.333333333333333,1,3,0.333,1,1,1.0,0,0,0.0,0,0,0,1,0,1,0,0,1,0,3,4,7.5,0,0,7.0,1,1,1,1,41,39,38,32,22,38,1,23,24,23,13,42,42,26,32,13,18,1,7,32,39,11,39,1,1,40,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000465,2021-02-21T00:00:00,NOP vs. BOS,W,4.916666666666667,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,0,2,4,3.2,0,0,3.0,1,1,1,1,43,39,41,9,35,38,35,23,24,23,13,30,33,39,32,33,18,1,21,32,44,11,44,1,1,45,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000455,2021-02-19T00:00:00,NOP vs. PHX,L,2.433333333333333,1,2,0.5,0,0,0.0,1,1,1.0,0,0,0,0,0,1,0,0,0,1,3,-1,6.0,0,0,5.0,1,21,21,21,46,39,41,9,35,45,35,15,20,1,13,42,42,39,32,13,18,1,1,20,39,20,41,1,1,42,1
2020-21,1629638,Nickeil Alexander-Walker,Nickeil,1610612740,NOP,New Orleans Pelicans,0022000429,2021-02-16T00:00:00,NOP @ MEM,W,2.8333333333333335,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,0,1,0,3,4,5.7,0,0,6.0,1,1,1,1,45,39,46,1,22,38,1,23,24,23,13,30,33,26,32,33,18,1,7,32,39,11,42,1,1,41,1
