SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0022201225,2023-04-09T00:00:00,MIN vs. NOP,W,16.335,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,3,2,0,1,0,3,1,3,16,8.5,0,0,9.0,1,1,1,1,28,35,34,38,16,11,29,22,25,22,14,42,45,10,7,21,3,1,46,19,38,2,34,1,1,31,1
2022-23,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0022201214,2023-04-08T00:00:00,MIN @ SAS,W,16.083333333333332,6,8,0.75,4,5,0.8,0,0,0.0,1,0,1,2,0,1,0,0,1,0,16,2,23.2,0,0,25.0,1,1,1,1,29,3,10,8,2,8,6,22,25,22,2,42,28,19,35,9,20,1,18,41,3,22,11,1,1,6,1
2022-23,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0022201180,2023-04-04T00:00:00,MIN @ BKN,W,14.966666666666667,1,5,0.2,0,3,0.0,0,0,0.0,0,2,2,0,0,1,1,1,1,0,2,3,10.4,0,0,8.0,1,1,1,1,35,35,22,42,34,20,34,22,25,22,14,12,16,44,35,9,3,48,18,41,40,18,31,1,1,36,1
2022-23,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0022201166,2023-04-02T00:00:00,MIN vs. POR,L,5.525,2,3,0.667,1,1,1.0,2,3,0.667,0,1,1,1,0,0,0,0,0,3,7,1,9.7,0,0,10.0,1,30,30,30,47,22,41,12,16,39,1,4,6,12,14,25,28,33,35,21,20,1,1,4,22,26,33,1,1,29,1
2022-23,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0022201157,2023-03-31T00:00:00,MIN vs. LAL,L,3.9,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,1,30,30,30,53,46,47,46,34,39,34,22,25,22,14,42,45,44,35,21,20,1,1,41,47,35,57,1,1,57,1
2022-23,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0022201144,2023-03-29T00:00:00,MIN @ PHX,L,5.183333333333334,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,1.2,0,0,1.0,1,30,30,30,49,46,56,46,34,49,34,22,25,22,2,42,28,44,35,21,20,1,1,19,47,28,53,1,1,53,1
2022-23,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0022201128,2023-03-27T00:00:00,MIN @ SAC,W,9.585,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,0,1,0,0,0,1,0,0,-3,0.2,0,0,1.0,1,1,1,1,41,46,34,46,34,20,34,22,25,22,14,25,28,44,12,21,20,1,18,41,47,38,56,1,1,53,1
2022-23,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0022201121,2023-03-26T00:00:00,MIN @ GSW,W,16.496666666666666,2,3,0.667,2,3,0.667,0,0,0.0,0,2,2,2,0,0,0,0,1,1,6,5,11.4,0,0,12.0,1,1,1,1,27,22,41,12,8,20,9,22,25,22,14,12,16,19,35,21,20,1,18,19,26,13,27,1,1,26,1
2022-23,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0022201090,2023-03-22T00:00:00,MIN vs. ATL,W,17.266666666666666,1,5,0.2,1,2,0.5,0,0,0.0,0,3,3,1,0,0,0,0,4,0,3,-11,8.1,0,0,8.0,1,1,1,1,23,35,22,42,16,32,12,22,25,22,14,5,8,33,35,21,20,1,54,41,38,48,38,1,1,36,1
2022-23,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0022201073,2023-03-20T00:00:00,MIN @ NYK,W,19.116666666666667,2,3,0.667,0,0,0.0,4,5,0.8,0,0,0,1,1,0,0,1,0,3,8,-15,8.5,0,0,9.0,1,1,1,1,19,22,41,12,34,49,34,1,1,9,14,42,45,33,12,21,20,48,1,4,17,58,34,1,1,31,1
