SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021901306,2020-08-12T00:00:00,MIA @ OKC,L,16.316666666666666,3,5,0.6,0,0,0.0,0,0,0.0,0,2,2,4,1,0,0,1,3,1,6,5,13.4,0,0,12.0,1,45,45,45,72,64,68,28,3,15,3,66,68,66,67,71,72,44,55,44,54,31,37,66,67,34,72,41,4,72,1
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021901295,2020-08-10T00:00:00,MIA vs. IND,W,22.30666666666667,4,10,0.4,0,0,0.0,2,4,0.5,2,7,9,4,2,0,3,1,0,3,10,16,33.8,0,0,29.0,1,1,1,1,70,56,36,59,3,15,3,38,40,44,33,38,43,44,40,44,4,31,1,46,60,12,51,41,4,59,1
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021901283,2020-08-08T00:00:00,MIA vs. PHX,L,30.4,6,13,0.462,0,0,0.0,6,6,1.0,1,6,7,9,5,1,3,1,2,7,18,5,46.9,0,0,42.0,1,45,45,45,56,30,19,50,3,15,3,15,23,1,53,50,57,6,4,24,4,31,18,9,22,34,20,41,4,17,1
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021901269,2020-08-06T00:00:00,MIA @ MIL,L,21.95,2,10,0.2,1,1,1.0,1,2,0.5,1,4,5,6,4,1,0,1,5,1,6,-21,20.0,0,0,20.0,1,45,45,45,71,69,36,70,1,1,1,57,52,44,53,61,67,19,13,24,54,31,65,66,67,69,68,41,4,66,1
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021901260,2020-08-04T00:00:00,MIA vs. BOS,W,31.685,5,12,0.417,0,0,0.0,11,18,0.611,3,9,12,2,1,1,1,2,3,10,21,11,43.4,1,0,39.0,1,1,1,1,52,42,25,58,3,15,3,1,1,40,19,20,22,62,55,24,25,60,37,2,12,24,33,1,4,26,1
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021901250,2020-08-03T00:00:00,MIA vs. TOR,L,31.655,5,9,0.556,0,0,0.0,0,0,0.0,1,7,8,4,2,1,1,0,2,0,10,2,29.6,0,0,26.0,1,45,45,45,53,42,46,42,3,15,3,66,68,66,53,38,50,44,40,24,25,1,18,72,60,37,60,41,4,61,1
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021901239,2020-08-01T00:00:00,MIA @ DEN,W,28.31,7,12,0.583,0,0,0.0,8,10,0.8,3,6,9,6,4,0,0,1,3,6,22,19,37.8,0,0,37.0,1,1,1,1,61,20,25,35,3,15,3,7,6,19,19,50,43,19,13,44,54,31,37,14,7,11,44,41,4,36,1
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021900970,2020-03-11T00:00:00,MIA vs. CHA,L,34.22833333333333,10,15,0.667,0,0,0.0,1,2,0.5,3,4,7,10,3,0,0,1,3,1,21,-10,41.4,1,0,38.0,1,45,45,45,38,3,8,16,3,15,3,57,52,44,19,61,57,3,29,44,54,31,37,66,12,61,38,1,4,30,1
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021900951,2020-03-08T00:00:00,MIA @ WAS,W,33.25833333333333,9,13,0.692,0,0,0.0,9,12,0.75,2,12,14,6,5,0,1,0,4,9,27,22,50.8,1,0,49.0,1,1,1,1,44,7,19,15,3,15,3,4,3,27,33,4,6,19,4,44,25,1,56,3,3,6,10,1,4,4,1
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0021900936,2020-03-06T00:00:00,MIA @ NOP,L,36.185,4,10,0.4,0,0,0.0,1,2,0.5,4,8,12,4,4,3,4,1,6,5,9,-9,46.4,0,0,39.0,1,45,45,45,23,56,36,59,3,15,3,57,52,44,7,29,22,44,13,4,1,31,71,25,63,60,25,41,4,26,1
