SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300489,2024-01-05T00:00:00,MIA @ PHX,L,36.10333333333333,11,19,0.579,0,0,0.0,6,7,0.857,2,8,10,1,1,0,1,1,2,7,28,-16,43.5,1,0,41.0,1,16,16,16,10,2,6,5,2,7,2,11,12,7,12,13,14,24,19,16,10,13,7,8,3,24,12,1,2,12,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300475,2024-01-03T00:00:00,MIA @ LAL,W,38.138333333333335,5,14,0.357,0,1,0.0,5,6,0.833,3,4,7,5,2,3,0,3,4,4,15,12,37.9,0,0,33.0,1,1,1,1,4,23,15,22,2,2,2,12,14,8,5,20,18,6,14,1,13,25,21,20,24,2,20,17,2,20,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300458,2024-01-01T00:00:00,MIA @ LAC,L,35.75,6,17,0.353,0,2,0.0,9,13,0.692,3,12,15,4,3,0,0,1,3,10,21,-12,42.0,1,0,40.0,1,16,16,16,13,22,7,24,2,1,2,3,3,20,5,4,4,10,10,16,13,13,13,3,14,23,14,1,2,13,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300439,2023-12-30T00:00:00,MIA @ UTA,L,36.5,7,13,0.538,0,0,0.0,14,20,0.7,3,13,16,3,4,3,3,2,1,11,28,-3,65.7,1,0,59.0,1,16,16,16,6,17,19,7,2,7,2,1,1,19,5,2,3,15,2,1,1,19,3,2,3,15,2,1,2,2,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300426,2023-12-28T00:00:00,MIA @ GSW,W,35.51166666666666,7,13,0.538,0,0,0.0,3,4,0.75,2,9,11,4,0,0,0,0,2,5,17,8,36.2,1,0,32.0,1,1,1,1,14,17,19,7,2,7,2,21,21,17,12,10,8,10,23,16,13,1,7,19,23,4,21,1,2,21,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300404,2023-12-25T00:00:00,MIA vs. PHI,W,36.24333333333333,9,15,0.6,0,0,0.0,8,12,0.667,3,12,15,5,4,0,3,0,1,7,26,0,56.5,1,0,52.0,1,1,1,1,9,6,10,4,2,7,2,4,4,21,5,4,4,6,2,16,1,1,3,8,6,10,4,1,2,4,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300384,2023-12-22T00:00:00,MIA vs. ATL,W,38.08166666666666,5,14,0.357,0,1,0.0,8,10,0.8,2,9,11,6,6,2,0,2,2,6,18,10,40.2,1,0,39.0,1,1,1,1,5,23,15,22,2,2,2,4,5,11,12,10,8,2,1,5,13,19,7,13,20,3,16,1,2,14,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300366,2023-12-20T00:00:00,MIA @ ORL,W,29.733333333333334,7,15,0.467,0,0,0.0,4,5,0.8,0,7,7,2,1,1,0,0,4,7,18,-6,31.4,0,0,29.0,1,1,1,1,24,17,10,18,2,7,2,18,17,11,21,16,18,19,19,11,13,1,21,8,20,19,22,17,2,22,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300353,2023-12-18T00:00:00,MIA vs. MIN,L,36.471666666666664,10,22,0.455,0,0,0.0,2,3,0.667,3,3,6,6,4,1,1,2,3,6,22,-3,40.2,0,0,38.0,1,16,16,16,7,3,3,19,2,7,2,23,23,21,5,24,22,2,2,11,10,19,13,13,11,15,16,17,2,17,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300267,2023-11-30T00:00:00,MIA vs. IND,W,12.466666666666667,3,9,0.333,0,0,0.0,1,2,0.5,0,4,4,2,0,0,0,1,1,2,7,-2,14.8,0,0,13.0,1,1,1,1,25,25,25,25,2,7,2,25,24,24,21,20,23,19,23,16,13,13,3,25,25,14,25,17,2,25,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300056,2023-11-28T00:00:00,MIA vs. MIL,L,42.18333333333333,13,27,0.481,0,0,0.0,5,7,0.714,2,8,10,5,2,0,2,2,3,7,31,-16,54.5,1,0,50.0,1,16,16,16,1,1,1,17,2,7,2,12,12,18,12,13,14,6,14,16,4,19,13,8,1,24,6,1,2,5,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300045,2023-11-24T00:00:00,MIA @ NYK,L,34.79333333333334,8,16,0.5,0,1,0.0,5,6,0.833,2,10,12,2,2,2,0,0,4,4,21,0,42.4,1,0,39.0,1,16,16,16,16,9,8,13,2,2,2,12,14,8,12,8,7,19,14,5,13,1,21,20,14,10,13,1,2,14,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300220,2023-11-20T00:00:00,MIA @ CHI,W,30.47,8,14,0.571,0,0,0.0,7,9,0.778,3,8,11,6,1,1,0,1,3,6,23,7,47.2,1,0,42.0,1,1,1,1,22,9,15,6,2,7,2,9,8,15,5,13,8,2,19,11,13,13,13,13,10,5,10,1,2,10,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300204,2023-11-18T00:00:00,MIA @ CHI,L,35.916666666666664,8,12,0.667,0,0,0.0,8,8,1.0,1,9,10,5,3,0,0,0,3,6,24,-1,40.5,1,0,39.0,1,16,16,16,12,9,22,2,2,7,2,4,10,1,19,10,14,6,10,16,13,1,13,13,8,13,15,1,2,14,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300200,2023-11-16T00:00:00,MIA vs. BKN,W,33.525,8,15,0.533,0,0,0.0,4,4,1.0,2,5,7,4,2,2,0,0,2,4,20,-6,38.4,0,0,35.0,1,1,1,1,18,9,10,10,2,7,2,18,21,1,12,19,18,10,14,5,13,1,7,20,18,19,19,17,2,19,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300017,2023-11-14T00:00:00,MIA @ CHA,W,35.94166666666667,8,16,0.5,0,0,0.0,5,6,0.833,0,11,11,4,1,3,1,0,3,6,21,1,51.2,1,0,44.0,1,1,1,1,11,9,8,13,2,7,2,12,14,8,21,6,8,10,19,1,10,1,13,13,14,9,8,1,2,9,1
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0022300184,2023-11-12T00:00:00,MIA @ SAS,W,34.29,10,20,0.5,0,0,0.0,4,5,0.8,4,7,11,6,0,3,0,0,0,4,24,-10,55.2,1,0,47.0,1,1,1,1,17,3,4,13,2,7,2,18,17,11,2,16,8,2,23,1,13,1,1,20,8,21,5,1,2,7,1
