SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2018-19,1628960,Grayson Allen,Grayson,1610612762,UTA,Utah Jazz,0021801229,2019-04-10T00:00:00,UTA @ LAC,L,40.71666666666667,11,30,0.367,5,13,0.385,13,14,0.929,2,5,7,4,3,1,1,1,1,10,40,-3,57.4,0,0,60.0,1,23,23,23,1,1,1,16,1,1,13,1,1,10,1,1,1,1,4,2,1,33,17,1,1,17,1,1,1,1,1
2018-19,1628960,Grayson Allen,Grayson,1610612762,UTA,Utah Jazz,0021801217,2019-04-09T00:00:00,UTA vs. DEN,W,13.316666666666666,0,2,0.0,0,2,0.0,2,2,1.0,0,1,1,0,1,0,0,0,3,1,2,-13,2.2,0,0,3.0,1,1,1,1,13,24,22,24,21,15,21,5,7,1,3,4,4,16,6,6,7,1,32,11,24,34,27,1,1,26,1
2018-19,1628960,Grayson Allen,Grayson,1610612762,UTA,Utah Jazz,0021801208,2019-04-07T00:00:00,UTA @ LAL,L,15.166666666666666,2,5,0.4,0,1,0.0,1,2,0.5,0,1,1,1,0,0,0,1,2,1,5,-7,7.7,0,0,7.0,1,23,23,23,10,9,11,10,21,22,21,13,7,12,3,4,4,6,19,6,7,33,28,11,15,26,13,1,1,14,1
2018-19,1628960,Grayson Allen,Grayson,1610612762,UTA,Utah Jazz,0021801188,2019-04-05T00:00:00,UTA vs. SAC,W,26.366666666666667,10,14,0.714,3,4,0.75,0,0,0.0,0,0,0,2,6,1,1,0,5,2,23,7,26.0,0,0,32.0,1,1,1,1,3,2,2,4,2,10,5,19,20,19,3,14,15,4,1,2,1,1,36,4,2,5,2,1,1,2,1
2018-19,1628960,Grayson Allen,Grayson,1610612762,UTA,Utah Jazz,0021801174,2019-04-03T00:00:00,UTA @ PHX,W,18.566666666666666,6,9,0.667,2,5,0.4,0,0,0.0,0,3,3,0,5,0,1,0,1,0,14,9,15.6,0,0,21.0,1,1,1,1,7,3,4,5,3,5,9,19,20,19,3,2,2,16,2,6,1,1,17,28,3,4,4,1,1,3,1
2018-19,1628960,Grayson Allen,Grayson,1610612762,UTA,Utah Jazz,0021801121,2019-03-27T00:00:00,UTA vs. LAL,W,2.45,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,1,-7,1.0,0,0,1.0,1,1,1,1,34,24,30,24,21,33,21,13,7,12,3,14,15,16,19,6,7,1,1,11,27,26,33,1,1,30,1
2018-19,1628960,Grayson Allen,Grayson,1610612762,UTA,Utah Jazz,0021801068,2019-03-20T00:00:00,UTA @ NYK,W,7.8,2,3,0.667,1,1,1.0,1,2,0.5,0,0,0,0,1,0,0,0,3,1,6,-9,5.0,0,0,7.0,1,1,1,1,23,9,17,5,9,22,1,13,7,12,3,14,15,16,6,6,7,1,32,11,13,28,16,1,1,14,1
2018-19,1628960,Grayson Allen,Grayson,1610612762,UTA,Utah Jazz,0021801005,2019-03-11T00:00:00,UTA vs. OKC,L,1.5333333333333334,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,3,5,3.0,0,0,4.0,1,23,23,23,36,18,30,1,9,22,1,19,20,19,3,14,15,16,19,6,7,1,1,11,21,7,23,1,1,22,1
2018-19,1628960,Grayson Allen,Grayson,1610612762,UTA,Utah Jazz,0021800982,2019-03-08T00:00:00,UTA @ MEM,L,4.4,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,0,0,0,3,-3,2.0,0,0,4.0,1,23,23,23,27,18,22,7,9,15,6,19,20,19,3,14,15,16,6,6,7,1,1,28,21,17,28,1,1,22,1
2018-19,1628960,Grayson Allen,Grayson,1610612762,UTA,Utah Jazz,0021800926,2019-02-28T00:00:00,UTA @ DEN,W,10.153333333333334,0,2,0.0,0,1,0.0,0,2,0.0,0,0,0,1,0,0,0,1,2,1,0,5,1.5,0,0,1.0,1,1,1,1,18,24,22,24,21,22,21,19,7,19,3,14,15,6,19,6,7,33,28,11,28,7,30,1,1,30,1
