SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2020-21,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0022001067,2021-05-16T00:00:00,CLE @ BKN,L,29.716666666666665,2,7,0.286,0,1,0.0,5,7,0.714,2,9,11,0,0,1,1,1,0,5,9,-20,28.2,0,0,24.0,1,21,21,21,33,50,32,61,7,3,7,9,11,36,40,12,19,52,49,6,23,32,1,18,43,56,36,26,1,41,1
2020-21,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0022000204,2021-05-14T00:00:00,CLE @ WAS,L,34.82666666666667,7,12,0.583,0,1,0.0,4,6,0.667,3,11,14,3,2,0,1,1,2,6,18,-1,40.3,1,0,37.0,1,21,21,21,9,7,1,36,7,3,7,19,15,37,23,8,8,6,16,27,23,32,33,10,10,26,11,1,1,9,1
2020-21,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0022001044,2021-05-12T00:00:00,CLE vs. BOS,W,32.11333333333334,4,10,0.4,0,0,0.0,0,0,0.0,3,7,10,2,3,0,1,1,1,1,8,4,23.0,0,0,22.0,1,1,1,1,24,34,15,53,7,18,7,56,57,56,23,27,30,14,3,27,23,32,13,59,47,17,54,26,1,48,1
2020-21,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0022001027,2021-05-10T00:00:00,CLE vs. IND,L,32.25,4,6,0.667,1,1,1.0,3,4,0.75,5,4,9,3,2,0,1,1,2,2,12,-13,28.3,0,0,27.0,1,21,21,21,22,34,42,22,1,3,1,26,32,28,5,48,36,6,16,27,23,32,33,53,34,53,35,26,1,33,1
2020-21,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0022001021,2021-05-09T00:00:00,CLE vs. DAL,L,26.016666666666666,2,5,0.4,0,1,0.0,1,4,0.25,2,3,5,1,1,0,0,1,0,4,5,-9,11.5,0,0,11.0,1,21,21,21,46,50,51,53,7,3,7,48,32,55,40,56,55,33,35,27,52,32,1,24,58,41,63,26,1,61,1
2020-21,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0022001007,2021-05-07T00:00:00,CLE @ DAL,L,30.8,1,5,0.2,0,0,0.0,3,4,0.75,4,8,12,1,3,2,0,0,0,4,5,-9,23.9,0,0,22.0,1,21,21,21,30,61,51,63,7,18,7,26,32,28,14,17,17,33,3,2,52,1,1,24,58,41,51,26,1,48,1
2020-21,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0022000991,2021-05-05T00:00:00,CLE vs. POR,L,28.55,3,8,0.375,0,1,0.0,3,4,0.75,5,8,13,2,2,1,1,1,3,3,9,2,31.6,0,0,28.0,1,21,21,21,38,43,26,56,7,3,7,26,32,28,5,17,14,14,16,6,23,32,53,41,43,20,26,26,1,27,1
2020-21,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0022000983,2021-05-04T00:00:00,CLE vs. PHX,L,37.055,7,11,0.636,0,0,0.0,3,5,0.6,4,4,8,5,2,1,1,1,1,5,17,-13,38.1,0,0,34.0,1,21,21,21,2,7,7,30,7,18,7,26,25,41,14,48,44,2,16,6,23,32,13,18,12,53,16,26,1,16,1
2020-21,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0022000960,2021-05-01T00:00:00,CLE vs. MIA,L,35.7,2,3,0.667,0,0,0.0,2,2,1.0,3,11,14,2,3,0,1,0,1,2,6,-7,25.8,0,0,24.0,1,21,21,21,8,50,57,22,7,18,7,41,44,1,23,8,8,14,3,27,23,1,13,53,55,38,45,26,1,41,1
2020-21,1628386,Jarrett Allen,Jarrett,1610612739,CLE,Cleveland Cavaliers,0022000951,2021-04-30T00:00:00,CLE vs. WAS,L,26.195,6,9,0.667,0,0,0.0,1,3,0.333,3,8,11,2,2,0,1,1,0,3,13,-5,30.2,1,0,28.0,1,21,21,21,45,15,19,22,7,18,7,48,40,54,23,17,19,14,16,27,23,32,1,41,29,31,30,1,1,27,1
