SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2020-21,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0022000183,2021-05-05T00:00:00,MEM @ MIN,W,6.333333333333333,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,1,0,0,0,0,1,2,5,1.0,0,0,2.0,1,1,1,1,50,46,50,46,40,49,40,16,18,1,17,46,46,45,14,28,7,1,1,21,45,17,50,1,1,50,1
2020-21,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0022000980,2021-05-03T00:00:00,MEM vs. NYK,L,26.466666666666665,0,5,0.0,0,4,0.0,2,2,1.0,1,4,5,5,0,1,0,0,0,2,2,9,18.5,0,0,14.0,1,27,27,27,19,46,42,46,40,31,40,16,18,1,3,9,7,2,30,14,7,1,1,12,45,9,27,1,1,34,1
2020-21,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0022000939,2021-04-28T00:00:00,MEM vs. POR,L,21.933333333333334,3,7,0.429,1,3,0.333,0,0,0.0,0,2,2,2,0,0,0,0,1,0,7,-6,12.4,0,0,12.0,1,27,27,27,38,19,25,20,30,39,26,28,28,28,17,30,33,21,30,28,7,1,14,34,33,37,40,1,1,39,1
2020-21,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0022000925,2021-04-26T00:00:00,MEM @ DEN,L,25.133333333333333,3,7,0.429,2,6,0.333,0,0,0.0,1,1,2,0,0,0,0,0,1,0,8,-8,10.4,0,0,12.0,1,27,27,27,29,19,25,20,18,15,26,28,28,28,3,38,33,45,30,28,7,1,14,34,29,41,43,1,1,39,1
2020-21,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0022000240,2021-04-25T00:00:00,MEM @ POR,W,26.55,3,12,0.25,0,4,0.0,3,3,1.0,2,3,5,2,1,1,1,1,4,1,9,1,23.0,0,0,20.0,1,1,1,1,18,19,12,38,40,31,40,8,14,1,2,16,7,21,14,14,3,37,48,21,25,21,19,1,1,22,1
2020-21,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0022000225,2021-04-23T00:00:00,MEM @ POR,W,22.783333333333335,1,6,0.167,0,5,0.0,0,0,0.0,0,6,6,3,1,0,0,0,2,0,2,-15,12.7,0,0,11.0,1,1,1,1,36,40,35,43,40,19,40,28,28,28,17,3,3,8,14,28,7,1,27,34,45,45,38,1,1,42,1
2020-21,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0022000889,2021-04-21T00:00:00,MEM @ LAC,L,26.3,1,4,0.25,1,2,0.5,3,4,0.75,0,2,2,3,1,0,0,0,1,2,6,-3,11.9,0,0,12.0,1,27,27,27,23,40,45,38,30,45,12,8,8,20,17,30,33,8,14,28,7,1,14,12,35,31,41,1,1,39,1
2020-21,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0022000874,2021-04-19T00:00:00,MEM @ DEN,L,43.21666666666667,8,20,0.4,3,10,0.3,5,5,1.0,0,3,3,1,3,3,0,1,2,4,24,0,35.1,0,0,37.0,1,27,27,27,1,3,1,25,11,4,31,3,3,1,17,16,22,34,3,2,7,37,27,3,3,25,4,1,1,4,1
2020-21,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0022000859,2021-04-17T00:00:00,MEM @ MIL,W,33.891666666666666,9,13,0.692,7,10,0.7,1,2,0.5,0,4,4,1,1,2,0,0,1,1,26,7,37.3,0,0,42.0,1,1,1,1,4,2,5,4,1,4,3,22,18,26,17,9,13,34,14,6,7,1,14,21,2,14,2,1,1,1,1
2020-21,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0022000850,2021-04-16T00:00:00,MEM @ CHI,W,26.403333333333332,3,9,0.333,3,7,0.429,2,4,0.5,0,3,3,3,0,0,0,0,2,3,11,7,19.1,0,0,20.0,1,1,1,1,22,19,15,29,11,12,19,16,8,26,17,16,22,8,30,28,7,1,27,4,19,14,23,1,1,22,1
