SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021901311,2020-08-13T00:00:00,MEM vs. MIL,W,27.3,4,6,0.667,1,2,0.5,0,0,0.0,0,1,1,0,1,0,0,0,1,0,9,1,9.2,0,0,11.0,1,1,1,1,6,11,17,6,16,25,11,17,19,17,8,24,24,30,9,10,3,1,12,29,17,13,26,1,1,22,1
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021901301,2020-08-11T00:00:00,MEM vs. BOS,L,28.583333333333332,5,14,0.357,2,9,0.222,0,0,0.0,2,3,5,2,1,1,0,1,1,1,12,-12,23.0,0,0,23.0,1,17,17,17,4,6,1,25,10,2,25,17,19,17,1,7,2,7,9,2,3,31,12,14,11,32,4,1,1,8,1
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021901286,2020-08-09T00:00:00,MEM @ TOR,L,33.583333333333336,6,14,0.429,4,10,0.4,4,4,1.0,1,3,4,1,2,0,0,0,5,6,20,-13,24.3,0,0,29.0,1,17,17,17,1,2,1,20,3,1,15,1,1,1,2,7,6,17,2,10,3,1,38,1,1,34,1,1,1,1,1
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021901275,2020-08-07T00:00:00,MEM vs. OKC,W,23.933333333333334,3,8,0.375,3,8,0.375,2,2,1.0,0,1,1,1,0,0,1,0,0,2,11,14,16.7,0,0,18.0,1,1,1,1,12,16,10,23,4,4,18,7,8,1,8,24,24,17,24,10,1,1,1,9,13,2,15,1,1,14,1
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021901262,2020-08-05T00:00:00,MEM @ UTA,L,26.821666666666665,7,10,0.7,6,8,0.75,0,0,0.0,0,2,2,1,1,0,0,0,4,1,20,-18,22.9,0,0,29.0,1,17,17,17,8,1,5,5,1,4,6,17,19,17,8,12,14,17,9,10,3,1,37,14,1,37,6,1,1,1,1
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021901253,2020-08-03T00:00:00,MEM @ NOP,L,31.083333333333332,6,10,0.6,5,6,0.833,0,0,0.0,0,1,1,2,1,1,0,0,2,0,17,-1,23.2,0,0,27.0,1,17,17,17,2,2,5,12,2,6,5,17,19,17,8,24,24,7,9,2,3,1,21,29,3,18,3,1,1,3,1
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021901246,2020-08-02T00:00:00,MEM vs. SAS,L,27.616666666666667,5,9,0.556,2,6,0.333,3,3,1.0,0,3,3,2,2,1,0,0,2,3,15,4,22.6,0,0,24.0,1,17,17,17,5,6,7,15,10,6,19,5,6,1,8,7,10,7,2,2,3,1,21,3,4,10,7,1,1,5,1
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021901234,2020-07-31T00:00:00,MEM @ POR,L,21.85,2,4,0.5,1,1,1.0,0,1,0.0,0,2,2,0,2,1,0,0,2,1,5,0,8.4,0,0,10.0,1,17,17,17,13,20,29,16,16,31,1,17,16,17,8,12,14,30,2,2,3,1,21,14,27,15,28,1,1,25,1
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021900670,2020-01-24T00:00:00,MEM @ DET,W,6.25,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,-10,0.2,0,0,1.0,1,1,1,1,37,38,38,38,28,37,28,17,19,17,8,24,24,30,9,10,3,1,1,29,38,30,38,1,1,38,1
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021900657,2020-01-22T00:00:00,MEM @ BOS,L,18.033333333333335,4,8,0.5,0,3,0.0,2,2,1.0,0,4,4,3,0,0,0,0,1,1,10,-9,19.3,0,0,17.0,1,17,17,17,21,11,10,16,28,16,28,7,8,1,8,3,6,2,24,10,3,1,12,14,16,29,11,1,1,15,1
2019-20,1628960,Grayson Allen,Grayson,1610612763,MEM,Memphis Grizzlies,0021900646,2020-01-20T00:00:00,MEM vs. NOP,L,12.683333333333334,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,2,0,3.5,0,0,3.0,1,17,17,17,29,31,29,32,28,25,28,17,19,17,8,34,34,17,24,10,3,1,1,29,33,15,35,1,1,35,1
