SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021901311,2020-08-13T00:00:00,MEM vs. MIL,W,28.883333333333333,3,6,0.5,2,4,0.5,2,4,0.5,0,3,3,6,3,2,1,0,5,2,10,16,28.6,0,0,27.0,1,1,1,1,6,15,22,26,1,1,6,6,3,18,40,29,40,3,1,4,9,1,64,7,11,4,5,1,1,2,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021901301,2020-08-11T00:00:00,MEM vs. BOS,L,22.966666666666665,2,6,0.333,2,3,0.667,0,0,0.0,1,6,7,2,1,0,1,2,3,0,6,-18,19.4,0,0,19.0,1,33,33,33,25,30,22,48,1,5,4,31,33,31,15,5,7,28,21,40,9,64,51,45,25,64,29,1,1,20,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021901286,2020-08-09T00:00:00,MEM @ TOR,L,11.723333333333333,1,2,0.5,0,0,0.0,1,1,1.0,1,2,3,2,2,1,0,1,5,1,3,0,10.6,0,0,10.0,1,33,33,33,62,42,53,26,20,45,20,16,28,1,15,47,40,28,4,12,30,55,64,23,45,31,53,1,1,49,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021901275,2020-08-07T00:00:00,MEM vs. OKC,W,24.733333333333334,3,7,0.429,1,3,0.333,0,0,0.0,0,3,3,4,2,2,1,0,1,1,7,14,23.6,0,0,21.0,1,1,1,1,18,15,12,37,6,5,17,31,33,31,40,29,40,8,4,4,9,1,16,23,19,6,17,1,1,16,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021901262,2020-08-05T00:00:00,MEM @ UTA,L,30.133333333333333,5,9,0.556,0,2,0.0,2,2,1.0,1,2,3,4,0,1,1,0,5,3,12,9,27.6,0,0,23.0,1,33,33,33,3,5,3,24,20,13,20,6,10,1,15,47,40,8,44,12,9,1,64,2,5,11,11,1,1,14,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021901253,2020-08-03T00:00:00,MEM @ NOP,L,28.716666666666665,2,9,0.222,0,4,0.0,1,1,1.0,1,4,5,3,1,0,2,0,0,3,5,-4,20.5,0,0,17.0,1,33,33,33,7,30,3,57,20,1,20,16,28,1,15,18,19,16,21,40,1,1,1,2,35,37,24,1,1,29,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021901246,2020-08-02T00:00:00,MEM vs. SAS,L,24.766666666666666,2,7,0.286,2,4,0.5,2,2,1.0,0,2,2,8,1,1,0,0,2,1,8,-7,24.4,0,0,22.0,1,33,33,33,17,30,12,52,1,1,6,6,10,1,40,47,53,1,21,12,30,1,37,23,16,45,16,1,1,15,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021901234,2020-07-31T00:00:00,MEM @ POR,L,17.766666666666666,1,5,0.2,1,3,0.333,1,2,0.5,0,2,2,1,1,1,0,1,5,2,4,1,9.9,0,0,10.0,1,33,33,33,41,42,27,58,6,5,17,16,10,18,40,47,53,49,21,12,30,55,64,7,38,29,54,1,1,49,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021900964,2020-03-10T00:00:00,MEM vs. ORL,L,26.445,0,1,0.0,0,0,0.0,3,4,0.75,0,4,4,2,0,0,1,1,2,2,3,-8,13.8,0,0,11.0,1,33,33,33,12,61,61,61,20,45,20,2,3,15,40,18,30,28,44,40,9,55,37,7,45,51,46,1,1,47,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021900943,2020-03-07T00:00:00,MEM vs. ATL,W,29.483333333333334,5,7,0.714,2,3,0.667,0,0,0.0,1,3,4,5,2,1,1,0,0,0,12,19,28.3,0,0,27.0,1,1,1,1,5,5,12,14,1,5,4,31,33,31,15,29,30,5,4,12,9,1,1,45,5,2,8,1,1,2,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021900937,2020-03-06T00:00:00,MEM @ DAL,L,24.683333333333334,2,5,0.4,1,3,0.333,1,2,0.5,1,5,6,3,2,0,2,1,2,1,6,-17,21.7,0,0,20.0,1,33,33,33,19,30,27,42,6,5,17,16,10,18,15,9,12,16,4,40,1,55,37,23,25,62,22,1,1,17,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021900920,2020-03-04T00:00:00,MEM @ BKN,W,21.583333333333332,5,9,0.556,2,4,0.5,0,0,0.0,2,3,5,0,1,0,0,0,1,0,12,10,17.0,0,0,19.0,1,1,1,1,29,5,3,24,1,1,6,31,33,31,5,29,19,59,21,40,30,1,16,45,5,9,35,1,1,20,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021900905,2020-03-02T00:00:00,MEM @ ATL,W,20.705,1,7,0.143,0,3,0.0,1,2,0.5,1,6,7,2,3,1,1,2,1,1,3,10,17.4,0,0,16.0,1,1,1,1,33,42,12,60,20,5,20,16,10,18,15,5,7,28,1,12,9,64,16,23,45,9,34,1,1,31,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021900891,2020-02-29T00:00:00,MEM vs. LAL,W,31.465,4,7,0.571,0,1,0.0,0,0,0.0,0,3,3,3,2,0,0,0,0,0,8,16,14.1,0,0,14.0,1,1,1,1,2,9,12,22,20,26,20,31,33,31,40,29,40,16,4,40,30,1,1,45,16,4,45,1,1,36,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021900881,2020-02-28T00:00:00,MEM vs. SAC,L,33.223333333333336,2,5,0.4,0,0,0.0,0,0,0.0,0,3,3,3,0,1,1,1,1,0,4,-7,18.1,0,0,14.0,1,33,33,33,1,30,27,42,20,45,20,31,33,31,40,29,40,16,44,12,9,55,16,45,38,45,33,1,1,36,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021900870,2020-02-26T00:00:00,MEM @ HOU,L,18.366666666666667,3,7,0.429,1,1,1.0,0,0,0.0,1,6,7,4,0,2,1,0,0,1,7,-6,30.4,0,0,25.0,1,33,33,33,39,15,12,37,6,26,1,31,33,31,15,5,7,8,44,4,9,1,1,23,19,41,3,1,1,5,1
2019-20,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021900856,2020-02-24T00:00:00,MEM @ LAC,L,21.5,3,8,0.375,0,2,0.0,0,0,0.0,0,8,8,2,0,2,0,2,3,1,6,-15,24.6,0,0,20.0,1,33,33,33,30,15,10,47,20,13,20,31,33,31,40,2,5,28,44,4,30,64,51,23,25,61,15,1,1,17,1
