SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300501,2024-01-07T00:00:00,MIN @ DAL,L,19.751666666666665,1,1,1.0,0,0,0.0,2,2,1.0,1,1,2,4,1,0,0,0,3,2,4,-7,11.4,0,0,10.0,1,26,26,26,26,29,34,1,4,15,4,7,9,1,6,27,22,15,19,19,18,1,27,4,25,25,32,1,1,31,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300485,2024-01-05T00:00:00,MIN @ HOU,W,17.583333333333332,1,4,0.25,0,0,0.0,0,0,0.0,1,6,7,5,2,3,0,0,3,0,2,16,24.9,0,0,20.0,1,1,1,1,31,29,23,31,4,15,4,24,26,24,6,3,3,6,7,1,18,1,27,29,32,1,7,1,1,10,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300471,2024-01-03T00:00:00,MIN vs. NOP,L,13.39,0,2,0.0,0,0,0.0,1,2,0.5,1,3,4,0,0,2,0,0,0,1,1,0,11.8,0,0,9.0,1,26,26,26,34,35,31,35,4,15,4,15,9,15,6,12,14,35,28,2,18,1,1,15,35,20,31,1,1,32,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300451,2024-01-01T00:00:00,MIN @ NYK,L,17.383333333333333,1,1,1.0,0,0,0.0,0,2,0.0,0,2,2,3,3,2,0,0,0,3,2,-3,11.9,0,0,11.0,1,26,26,26,32,29,34,1,4,15,4,24,9,24,21,21,22,21,4,2,18,1,1,2,32,22,30,1,1,29,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300443,2023-12-30T00:00:00,MIN vs. LAL,W,24.468333333333334,2,4,0.5,0,1,0.0,0,0,0.0,0,3,3,7,1,0,1,0,0,0,4,-8,20.1,0,0,16.0,1,1,1,1,14,16,23,12,4,7,4,24,26,24,21,12,19,2,19,19,6,1,1,29,25,28,18,1,1,22,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300423,2023-12-28T00:00:00,MIN vs. DAL,W,27.016666666666666,3,8,0.375,1,1,1.0,1,2,0.5,1,9,10,3,3,0,0,1,0,1,8,-11,21.5,0,0,22.0,1,1,1,1,5,8,5,24,1,7,1,15,9,15,6,1,1,21,4,19,18,25,1,15,9,32,13,1,1,5,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300411,2023-12-26T00:00:00,MIN @ OKC,L,23.05,2,4,0.5,0,1,0.0,3,3,1.0,0,0,0,1,2,0,0,0,1,2,7,-10,6.5,0,0,8.0,1,26,26,26,17,16,23,12,4,7,4,2,8,1,21,34,34,32,7,19,18,1,13,4,12,30,34,1,1,34,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300400,2023-12-23T00:00:00,MIN @ SAC,W,28.65,4,9,0.444,0,0,0.0,2,2,1.0,1,4,5,5,2,0,1,1,4,1,10,9,24.5,0,0,22.0,1,1,1,1,2,3,2,19,4,15,4,7,9,1,6,7,7,6,7,19,6,25,32,15,4,7,8,1,1,5,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300380,2023-12-21T00:00:00,MIN vs. LAL,W,22.57,4,7,0.571,0,2,0.0,1,1,1.0,2,3,5,4,1,1,1,0,0,1,9,8,26.0,0,0,22.0,1,1,1,1,21,3,6,10,4,2,4,15,25,1,1,12,7,15,19,11,6,1,1,15,5,9,6,1,1,5,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300367,2023-12-20T00:00:00,MIN @ PHI,L,12.67,1,5,0.2,0,0,0.0,0,0,0.0,0,0,0,1,2,0,0,1,0,1,2,-10,1.5,0,0,3.0,1,26,26,26,35,29,20,32,4,15,4,24,26,24,21,34,34,32,7,19,18,25,1,15,32,30,35,1,1,35,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300353,2023-12-18T00:00:00,MIN @ MIA,W,22.293333333333333,2,4,0.5,0,0,0.0,1,2,0.5,0,1,1,5,1,1,1,0,2,2,5,1,18.7,0,0,15.0,1,1,1,1,22,16,23,12,4,15,4,15,9,15,21,27,30,6,19,11,6,1,22,4,24,19,21,1,1,26,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300338,2023-12-16T00:00:00,MIN vs. IND,W,23.22,2,4,0.5,0,0,0.0,0,0,0.0,1,3,4,10,2,0,0,1,4,1,4,6,21.8,0,0,18.0,1,1,1,1,15,16,23,12,4,15,4,24,26,24,6,12,14,1,7,19,18,25,32,15,25,12,12,1,1,12,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300321,2023-12-14T00:00:00,MIN @ DAL,W,18.128333333333334,3,7,0.429,0,1,0.0,0,0,0.0,0,2,2,2,1,2,1,0,2,0,6,4,19.4,0,0,16.0,1,1,1,1,30,8,6,20,4,7,4,24,26,24,21,21,22,28,19,2,6,1,22,29,18,15,20,1,1,22,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300301,2023-12-11T00:00:00,MIN @ NOP,L,18.683333333333334,3,6,0.5,0,0,0.0,0,0,0.0,1,3,4,3,0,2,0,1,1,1,6,7,21.3,0,0,17.0,1,26,26,26,28,8,11,12,4,15,4,24,26,24,6,12,14,21,28,2,18,25,13,15,18,10,14,1,1,15,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022301221,2023-12-08T00:00:00,MIN @ MEM,W,22.1,2,11,0.182,0,6,0.0,3,4,0.75,1,5,6,5,2,0,0,1,0,2,7,-3,19.7,0,0,18.0,1,1,1,1,23,16,1,33,4,1,4,2,3,11,6,4,4,6,7,19,18,25,1,4,12,22,19,1,1,12,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022301210,2023-12-06T00:00:00,MIN vs. SAS,W,21.996666666666666,2,6,0.333,0,0,0.0,3,4,0.75,0,1,1,2,0,0,4,1,2,2,7,-7,23.2,0,0,18.0,1,1,1,1,24,16,11,25,4,15,4,2,3,11,21,27,30,28,28,19,1,25,22,4,12,25,10,1,1,12,1
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022300281,2023-12-02T00:00:00,MIN @ CHA,W,25.933333333333334,2,6,0.333,0,0,0.0,7,7,1.0,2,4,6,4,2,2,0,0,3,5,11,2,28.2,0,0,25.0,1,1,1,1,9,16,11,25,4,15,4,1,1,1,1,7,4,15,7,2,18,1,27,1,3,18,4,1,1,2,1
