SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2018-19,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021800760,2019-01-30T00:00:00,MEM @ MIN,L,34.85,6,10,0.6,0,0,0.0,2,3,0.667,3,4,7,1,3,0,1,0,4,3,14,-6,23.9,0,0,24.0,1,20,20,20,10,5,5,18,9,24,9,5,8,11,3,17,10,31,2,28,8,1,33,3,6,27,22,3,2,13,1
2018-19,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021800747,2019-01-28T00:00:00,MEM vs. DEN,L,29.983333333333334,4,8,0.5,0,0,0.0,1,2,0.5,2,3,5,3,4,1,1,0,5,1,9,1,21.5,0,0,21.0,1,20,20,20,24,15,11,22,9,24,9,10,10,12,6,30,18,16,1,15,8,1,38,18,15,17,28,3,2,20,1
2018-19,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021800631,2019-01-12T00:00:00,MEM @ MIA,L,8.3,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,0,0,2,7,7.7,0,0,6.0,1,20,20,20,43,37,43,1,9,24,9,23,26,23,29,43,43,31,36,15,29,1,1,34,39,9,42,3,2,43,1
2018-19,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021800611,2019-01-09T00:00:00,MEM vs. SAS,W,33.31666666666667,3,7,0.429,0,1,0.0,3,4,0.75,1,2,3,2,0,1,3,0,4,2,9,4,27.6,0,0,22.0,1,1,1,1,13,20,15,27,9,8,9,3,3,9,13,39,35,24,36,15,1,1,33,6,15,14,15,3,2,17,1
2018-19,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021800595,2019-01-07T00:00:00,MEM @ NOP,L,30.925,2,5,0.4,1,2,0.5,0,0,0.0,1,4,5,5,3,0,1,1,1,0,5,-16,18.5,0,0,18.0,1,20,20,20,22,26,24,29,2,4,4,23,26,23,13,17,18,4,2,28,8,33,3,34,27,42,34,3,2,30,1
2018-19,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021800581,2019-01-05T00:00:00,MEM @ SAS,L,28.95,3,6,0.5,0,0,0.0,1,2,0.5,0,4,4,3,1,2,2,1,2,1,7,-17,27.3,0,0,22.0,1,20,20,20,26,20,18,22,9,24,9,10,10,12,29,17,29,16,18,9,3,33,12,18,22,43,16,3,2,17,1
2018-19,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021800570,2019-01-04T00:00:00,MEM vs. BKN,L,37.666666666666664,5,10,0.5,0,3,0.0,1,1,1.0,3,8,11,10,2,0,1,0,1,2,11,5,40.2,1,1,34.0,1,20,20,20,6,8,5,22,9,2,9,10,21,1,3,5,4,1,6,28,8,1,3,6,10,11,3,1,1,3,1
2018-19,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021800560,2019-01-02T00:00:00,MEM vs. DET,L,30.983333333333334,7,9,0.778,0,0,0.0,1,2,0.5,1,4,5,1,2,0,1,0,2,1,15,-11,23.5,0,0,23.0,1,20,20,20,21,3,8,8,9,24,9,10,10,12,13,17,18,31,6,28,8,1,12,18,3,36,24,3,2,15,1
2018-19,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021800544,2018-12-31T00:00:00,MEM @ HOU,L,38.655,9,13,0.692,2,4,0.5,0,6,0.0,1,2,3,5,2,3,1,0,5,7,20,-15,41.1,0,0,38.0,1,20,20,20,3,1,2,11,1,1,4,23,1,23,13,39,35,4,6,6,8,1,38,1,1,41,2,3,2,2,1
2018-19,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0021800531,2018-12-29T00:00:00,MEM vs. BOS,L,38.32,5,6,0.833,0,1,0.0,0,0,0.0,0,5,5,2,2,4,0,0,3,0,10,-12,29.0,0,0,25.0,1,20,20,20,5,8,18,5,9,8,9,23,26,23,29,12,18,24,6,1,29,1,22,34,12,39,10,3,2,9,1
