SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701226,2018-04-11T00:00:00,SAS @ NOP,L,17.95,4,7,0.571,1,1,1.0,1,1,1.0,0,0,0,2,0,2,0,0,1,2,10,-11,19.0,0,0,17.0,1,42,42,42,72,14,21,29,2,15,1,28,40,1,47,71,73,37,52,15,40,1,15,19,18,60,51,7,1,47,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701210,2018-04-09T00:00:00,SAS vs. SAC,W,25.783333333333335,2,4,0.5,0,1,0.0,4,6,0.667,0,5,5,2,0,2,1,0,2,4,8,6,26.0,0,0,21.0,1,1,1,1,43,44,47,37,19,15,19,7,4,22,47,20,34,37,52,15,15,1,39,2,28,26,34,7,1,35,2
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701196,2018-04-07T00:00:00,SAS vs. POR,W,28.45,3,4,0.75,0,0,0.0,1,1,1.0,2,3,5,3,0,2,1,0,2,1,7,12,26.5,0,0,21.0,1,1,1,1,30,32,47,9,19,39,19,28,40,1,12,44,34,26,52,15,15,1,39,33,38,12,29,7,1,35,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701174,2018-04-04T00:00:00,SAS @ LAL,L,33.17333333333333,4,10,0.4,1,3,0.333,0,0,0.0,1,3,4,1,1,3,1,0,3,1,9,-14,26.3,0,0,23.0,1,42,42,42,11,14,5,51,2,2,18,41,46,41,24,44,46,57,30,9,15,1,62,33,27,64,30,7,1,27,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701168,2018-04-03T00:00:00,SAS @ LAC,L,29.316666666666666,3,5,0.6,1,1,1.0,0,1,0.0,2,4,6,2,1,0,4,0,2,2,7,2,28.2,0,0,24.0,1,42,42,42,25,32,39,25,2,15,1,41,40,41,12,28,21,37,30,58,1,1,39,19,38,40,21,7,1,24,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701145,2018-04-01T00:00:00,SAS vs. HOU,W,25.793333333333333,2,4,0.5,0,1,0.0,1,2,0.5,0,1,1,5,0,2,1,0,0,1,5,6,22.7,0,0,17.0,1,1,1,1,42,44,47,37,19,15,19,28,21,26,47,69,70,4,52,15,15,1,1,33,50,26,43,7,1,47,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701126,2018-03-29T00:00:00,SAS vs. OKC,W,23.25,4,4,1.0,1,1,1.0,1,2,0.5,0,0,0,2,0,2,0,0,4,1,10,7,19.0,0,0,17.0,1,1,1,1,54,14,47,1,2,15,1,28,21,26,47,71,73,37,52,15,40,1,70,33,18,23,51,7,1,47,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701108,2018-03-27T00:00:00,SAS @ WAS,L,18.716666666666665,3,4,0.75,0,0,0.0,1,2,0.5,1,2,3,2,0,1,1,0,2,1,7,3,19.6,0,0,16.0,1,42,42,42,70,32,47,9,19,39,19,28,21,26,24,59,58,37,52,33,15,1,39,33,38,37,49,7,1,51,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701095,2018-03-25T00:00:00,SAS @ MIL,L,24.216666666666665,3,6,0.5,0,0,0.0,0,0,0.0,3,3,6,0,2,1,0,1,0,1,6,-2,14.2,0,0,14.0,1,42,42,42,51,32,32,37,19,39,19,41,46,41,4,44,21,69,11,33,40,51,1,33,43,47,62,7,1,59,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701085,2018-03-23T00:00:00,SAS vs. UTA,W,25.488333333333333,2,5,0.4,1,1,1.0,0,0,0.0,0,7,7,3,3,4,1,1,0,0,5,2,29.9,0,0,26.0,1,1,1,1,46,44,39,51,2,15,1,41,46,41,47,8,15,26,4,5,15,51,1,58,50,40,17,7,1,17,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701071,2018-03-21T00:00:00,SAS vs. WAS,W,29.5,7,8,0.875,1,1,1.0,1,2,0.5,3,1,4,4,3,0,1,0,3,1,16,24,26.8,0,0,27.0,1,1,1,1,24,3,12,7,2,15,1,28,21,26,4,69,46,11,4,58,15,1,62,33,3,4,28,7,1,14,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701056,2018-03-19T00:00:00,SAS vs. GSW,W,22.563333333333333,0,2,0.0,0,2,0.0,0,0,0.0,3,7,10,4,2,1,0,0,1,1,0,30,19.0,0,0,16.0,1,1,1,1,57,71,69,71,19,5,19,41,46,41,4,8,4,11,11,33,40,1,15,33,73,1,51,7,1,51,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701042,2018-03-17T00:00:00,SAS vs. MIN,W,13.616666666666667,1,1,1.0,1,1,1.0,0,0,0.0,0,3,3,0,0,2,0,0,1,0,3,-14,12.6,0,0,11.0,1,1,1,1,74,62,73,1,2,15,1,41,46,41,47,44,58,69,52,15,40,1,15,58,66,64,66,7,1,67,1
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701025,2018-03-15T00:00:00,SAS vs. NOP,W,33.99,2,5,0.4,0,1,0.0,2,2,1.0,0,5,5,4,0,3,2,1,1,1,6,-5,33.0,0,0,25.0,1,1,1,1,6,44,39,51,19,15,19,14,21,1,47,20,34,11,52,9,7,51,15,33,43,55,12,7,1,21,2
2017-18,203937,Kyle Anderson,Kyle,1610612759,SAS,San Antonio Spurs,0021701012,2018-03-13T00:00:00,SAS vs. ORL,W,22.033333333333335,2,2,1.0,1,1,1.0,0,0,0.0,2,4,6,4,3,2,1,0,2,0,5,28,24.2,0,0,22.0,1,1,1,1,60,44,69,1,2,15,1,41,46,41,12,28,21,11,4,15,15,1,39,58,50,2,40,7,1,31,1
