SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2021-22,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022101223,2022-04-10T00:00:00,MEM vs. BOS,L,31.1,7,16,0.438,2,5,0.4,4,6,0.667,6,4,10,4,4,2,0,0,3,3,20,-22,40.0,1,0,40.0,1,21,21,21,1,2,1,13,1,1,4,1,1,4,1,3,1,1,1,1,9,1,29,1,1,32,2,1,1,1,1
2021-22,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022101201,2022-04-07T00:00:00,MEM @ DEN,L,9.316666666666666,3,7,0.429,0,2,0.0,2,2,1.0,2,3,5,1,1,1,0,0,1,2,8,15,17.5,0,0,16.0,1,21,21,21,19,4,4,14,6,7,6,3,5,1,3,6,4,6,4,2,9,1,10,4,4,2,4,3,1,4,1
2021-22,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022101155,2022-04-01T00:00:00,MEM vs. PHX,W,21.095,5,8,0.625,0,0,0.0,2,4,0.5,1,4,5,1,0,1,1,1,3,3,12,3,25.5,0,0,22.0,1,1,1,1,3,3,3,6,6,24,6,3,3,7,7,3,4,6,11,2,3,28,29,1,3,9,3,3,1,3,1
2021-22,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022101112,2022-03-26T00:00:00,MEM vs. MIL,W,3.3666666666666667,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,2,4,3.2,0,0,3.0,1,1,1,1,29,12,26,1,6,24,6,12,13,12,21,15,20,14,11,6,9,1,10,18,15,7,24,3,1,25,1
2021-22,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022101096,2022-03-24T00:00:00,MEM vs. IND,W,18.25,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,1,2,0,2,1,1,1,0,-3,7.9,0,0,7.0,1,1,1,1,5,25,16,25,6,7,6,12,13,12,7,15,14,6,3,6,1,28,10,8,27,20,16,3,1,16,1
2021-22,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022100749,2022-01-29T00:00:00,MEM vs. WAS,W,1.5833333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,0,0,2,0.2,0,0,1.0,1,1,1,1,32,25,32,25,6,24,6,12,13,12,21,15,20,14,4,6,9,1,24,18,27,11,30,3,1,28,1
2021-22,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022100705,2022-01-23T00:00:00,MEM @ DAL,L,13.15,2,3,0.667,0,1,0.0,1,1,1.0,0,0,0,1,0,0,1,0,2,2,5,0,9.5,0,0,8.0,1,21,21,21,11,8,16,4,6,17,6,7,11,1,21,26,30,6,11,6,3,1,24,4,10,12,12,3,1,12,1
2021-22,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022100674,2022-01-19T00:00:00,MEM @ MIL,L,13.266666666666667,3,7,0.429,0,3,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,1,6,-11,9.6,0,0,9.0,1,21,21,21,10,4,4,14,6,3,6,12,13,12,7,8,9,14,11,6,9,1,1,8,8,29,11,3,1,11,1
2021-22,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022100658,2022-01-17T00:00:00,MEM vs. CHI,W,3.5,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-5,0.0,0,0,0.0,1,1,1,1,28,25,26,25,6,24,6,12,13,12,21,26,30,14,11,6,9,1,1,18,27,26,31,3,1,31,1
2021-22,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022100639,2022-01-14T00:00:00,MEM vs. DAL,L,4.933333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,0,-3,1.2,0,0,1.0,1,21,21,21,26,25,26,25,6,24,6,12,13,12,21,15,20,14,11,6,9,1,1,4,27,20,28,3,1,28,1
