SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101223,2022-04-10T00:00:00,MEM vs. BOS,L,25.233333333333334,6,11,0.545,1,3,0.333,3,4,0.75,1,6,7,3,0,3,1,0,0,3,16,-18,40.9,0,0,35.0,1,47,47,47,13,2,2,19,8,6,23,4,5,17,21,10,14,21,42,4,11,1,1,5,1,67,3,3,1,3,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101213,2022-04-09T00:00:00,MEM vs. NOP,W,21.233333333333334,3,5,0.6,1,2,0.5,0,0,0.0,0,3,3,4,2,0,1,0,2,0,7,13,17.6,0,0,17.0,1,1,1,1,36,25,51,12,8,13,11,33,37,33,42,48,54,8,7,42,11,1,35,43,34,12,54,3,1,44,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101201,2022-04-07T00:00:00,MEM @ DEN,L,21.65,4,7,0.571,1,2,0.5,2,2,1.0,0,4,4,4,1,1,0,0,3,2,11,-4,23.8,0,0,22.0,1,47,47,47,35,16,25,16,8,13,11,8,13,1,42,31,40,8,24,21,35,1,55,11,15,41,23,3,1,22,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101187,2022-04-05T00:00:00,MEM @ UTA,L,18.036666666666665,3,6,0.5,1,1,1.0,1,2,0.5,1,3,4,2,2,0,2,0,4,1,8,-10,19.8,0,0,19.0,1,47,47,47,55,25,35,22,8,34,1,22,13,22,21,48,40,34,7,42,2,1,65,22,28,54,45,3,1,33,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101155,2022-04-01T00:00:00,MEM vs. PHX,W,28.025,3,6,0.5,0,1,0.0,0,0,0.0,1,9,10,5,4,1,0,0,2,0,6,-7,24.5,0,0,23.0,1,1,1,1,7,25,35,22,28,34,28,33,37,33,21,2,4,6,1,21,35,1,35,43,39,50,22,3,1,21,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101144,2022-03-30T00:00:00,MEM @ SAS,W,22.68166666666667,2,5,0.4,0,1,0.0,0,0,0.0,2,1,3,4,2,3,0,0,2,0,4,-4,20.6,0,0,17.0,1,1,1,1,28,45,51,41,28,34,28,33,37,33,7,61,54,8,7,4,35,1,35,43,50,41,40,3,1,44,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101129,2022-03-28T00:00:00,MEM vs. GSW,W,25.183333333333334,5,8,0.625,0,1,0.0,3,3,1.0,0,5,5,1,3,0,1,0,2,4,13,17,20.5,0,0,21.0,1,1,1,1,14,6,16,8,28,34,28,4,10,1,42,21,31,51,2,42,11,1,35,2,7,6,41,3,1,26,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101112,2022-03-26T00:00:00,MEM vs. MIL,W,20.036666666666665,3,6,0.5,1,2,0.5,2,2,1.0,0,4,4,0,0,1,2,1,0,1,9,13,22.8,0,0,20.0,1,1,1,1,41,25,35,22,8,13,11,8,13,1,42,31,40,66,42,21,2,50,1,22,21,12,25,3,1,28,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101096,2022-03-24T00:00:00,MEM vs. IND,W,22.966666666666665,3,9,0.333,1,2,0.5,1,2,0.5,0,4,4,4,0,1,0,2,3,1,8,15,21.8,0,0,19.0,1,1,1,1,27,25,11,50,8,13,11,22,13,22,42,31,40,8,42,21,35,65,55,22,28,7,31,3,1,33,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101089,2022-03-23T00:00:00,MEM vs. BKN,W,15.0,4,9,0.444,1,2,0.5,1,1,1.0,2,1,3,2,0,2,1,0,3,1,10,-2,25.6,0,0,22.0,1,1,1,1,65,16,11,35,8,13,11,22,32,1,7,61,54,34,42,12,11,1,55,22,19,39,20,3,1,22,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101063,2022-03-20T00:00:00,MEM @ HOU,W,21.028333333333332,3,8,0.375,1,2,0.5,0,0,0.0,1,5,6,1,1,0,1,2,1,0,7,7,17.7,0,0,17.0,1,1,1,1,37,25,16,48,8,13,11,33,37,33,21,21,22,51,24,42,11,65,18,43,34,23,51,3,1,44,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101047,2022-03-18T00:00:00,MEM @ ATL,L,21.845,3,5,0.6,0,0,0.0,3,4,0.75,2,2,4,2,0,1,1,1,0,2,9,-11,22.8,0,0,19.0,1,47,47,47,31,25,51,12,28,57,28,4,5,17,7,57,40,34,42,21,11,50,1,11,21,56,25,3,1,33,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101029,2022-03-15T00:00:00,MEM @ IND,W,20.833333333333332,2,6,0.333,0,2,0.0,0,0,0.0,2,6,8,3,1,0,0,0,0,1,4,8,17.1,0,0,15.0,1,1,1,1,39,45,35,50,28,13,28,33,37,33,7,10,11,21,24,42,35,1,1,22,50,21,56,3,1,53,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101018,2022-03-13T00:00:00,MEM @ OKC,W,18.35,3,6,0.5,0,1,0.0,0,0,0.0,1,5,6,2,0,1,1,1,0,0,6,-13,22.2,0,0,18.0,1,1,1,1,53,25,35,22,28,34,28,33,37,33,21,21,22,34,42,21,11,50,1,43,39,59,28,3,1,41,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022101000,2022-03-11T00:00:00,MEM vs. NYK,W,18.78,3,4,0.75,0,0,0.0,0,3,0.0,2,7,9,3,2,1,2,0,2,4,6,2,28.3,0,0,24.0,1,1,1,1,51,25,62,2,28,57,28,33,10,33,7,5,5,21,7,21,2,1,35,2,39,33,13,3,1,15,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100978,2022-03-08T00:00:00,MEM vs. NOP,W,14.45,2,6,0.333,0,2,0.0,1,1,1.0,0,4,4,1,1,0,0,0,0,1,5,-14,10.3,0,0,10.0,1,1,1,1,67,45,35,50,28,13,28,22,32,1,42,31,40,51,24,42,35,1,1,22,49,60,63,3,1,62,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100964,2022-03-06T00:00:00,MEM @ HOU,L,17.95,1,6,0.167,0,2,0.0,1,4,0.25,1,4,5,2,0,2,1,0,2,2,3,1,21.0,0,0,16.0,1,47,47,47,56,56,35,63,28,13,28,22,5,32,21,31,31,34,42,12,11,1,35,11,59,35,34,3,1,50,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100957,2022-03-05T00:00:00,MEM vs. ORL,W,17.533333333333335,4,6,0.667,1,3,0.333,0,0,0.0,1,5,6,1,0,1,0,0,1,0,9,13,20.7,0,0,19.0,1,1,1,1,59,16,35,4,8,6,23,33,37,33,21,21,22,51,42,21,35,1,18,43,21,12,38,3,1,33,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100940,2022-03-03T00:00:00,MEM @ BOS,L,24.303333333333335,3,7,0.429,0,1,0.0,0,0,0.0,1,4,5,4,0,6,0,0,3,0,6,10,36.0,0,0,27.0,1,47,47,47,20,25,25,36,28,34,28,33,37,33,21,31,31,8,42,1,35,1,55,43,39,18,5,3,1,8,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100923,2022-02-28T00:00:00,MEM vs. SAS,W,24.316666666666666,4,7,0.571,1,1,1.0,0,0,0.0,2,7,9,6,0,0,1,0,1,1,9,19,31.8,0,0,27.0,1,1,1,1,19,16,25,16,8,34,1,33,37,33,7,5,5,3,42,42,11,1,18,22,21,4,8,3,1,8,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100909,2022-02-26T00:00:00,MEM @ CHI,W,28.533333333333335,3,6,0.5,0,0,0.0,0,0,0.0,5,6,11,3,1,0,3,0,4,0,6,1,31.7,0,0,26.0,1,1,1,1,5,25,35,22,28,57,28,33,37,33,1,10,1,21,24,42,1,1,65,43,39,35,9,3,1,11,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100892,2022-02-24T00:00:00,MEM @ MIN,L,13.866666666666667,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,1,3,0,0,2,1,0,2,6,2.9,0,0,5.0,1,47,47,47,68,56,65,50,28,57,28,33,37,33,42,57,62,51,2,42,35,65,18,43,61,25,69,3,1,69,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100879,2022-02-16T00:00:00,MEM vs. POR,L,7.52,0,1,0.0,0,0,0.0,2,5,0.4,0,1,1,1,0,2,0,0,0,2,2,-1,10.7,0,0,8.0,1,47,47,47,69,66,69,66,28,57,28,8,4,30,42,61,66,51,42,12,35,1,1,11,61,38,62,3,1,64,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100872,2022-02-15T00:00:00,MEM @ NOP,W,16.016666666666666,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,4,1,1,0,1,0,0,0,10,9.2,0,0,7.0,1,1,1,1,63,66,66,66,28,57,28,33,37,33,42,61,66,8,24,21,35,50,1,43,67,18,65,3,1,66,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100846,2022-02-12T00:00:00,MEM @ CHA,W,17.35333333333333,1,2,0.5,0,1,0.0,0,0,0.0,0,7,7,6,2,0,0,0,3,0,2,11,17.4,0,0,15.0,1,1,1,1,60,56,66,22,28,34,28,33,37,33,42,5,14,3,7,42,35,1,55,43,61,15,55,3,1,53,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100831,2022-02-10T00:00:00,MEM @ DET,W,26.11,6,11,0.545,0,1,0.0,1,2,0.5,3,8,11,2,2,1,1,0,5,1,13,28,33.2,1,0,30.0,1,1,1,1,11,2,2,19,28,34,28,22,13,22,2,3,1,34,7,21,11,1,69,22,7,1,7,1,1,6,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100818,2022-02-08T00:00:00,MEM vs. LAC,W,24.49,5,10,0.5,0,1,0.0,1,1,1.0,2,6,8,0,0,3,0,1,1,2,11,19,29.6,0,0,25.0,1,1,1,1,16,6,7,22,28,34,28,22,32,1,7,10,11,66,42,4,35,50,18,11,15,4,12,3,1,13,1
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0022100796,2022-02-05T00:00:00,MEM @ ORL,W,19.483333333333334,1,5,0.2,0,0,0.0,5,7,0.714,2,4,6,1,1,0,2,0,1,3,7,11,20.7,0,0,18.0,1,1,1,1,45,56,51,60,28,57,28,2,2,20,7,31,22,51,24,42,2,1,18,5,34,15,38,3,1,41,1
