SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701227,2018-04-11T00:00:00,OKC vs. MEM,W,36.48166666666667,9,12,0.75,0,0,0.0,6,7,0.857,1,6,7,0,2,1,0,0,2,5,24,17,33.4,0,0,33.0,1,1,1,1,16,7,11,19,1,3,1,3,10,15,73,5,55,55,20,23,48,1,17,14,4,13,33,29,1,20,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701206,2018-04-09T00:00:00,OKC @ MIA,W,31.616666666666667,3,6,0.5,0,0,0.0,1,4,0.25,2,1,3,1,1,1,1,1,2,3,7,-1,17.1,0,0,15.0,1,1,1,1,49,64,66,55,1,3,1,40,27,52,64,69,73,25,38,23,20,40,17,35,66,43,72,29,1,72,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701194,2018-04-07T00:00:00,OKC @ HOU,W,28.633333333333333,5,7,0.714,0,0,0.0,2,3,0.667,3,5,8,3,0,1,0,0,1,3,12,-4,29.1,0,0,25.0,1,1,1,1,63,41,61,24,1,3,1,25,34,18,50,17,44,3,63,23,48,1,3,35,42,52,48,29,1,49,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701163,2018-04-03T00:00:00,OKC vs. GSW,L,32.99166666666667,3,6,0.5,0,0,0.0,1,6,0.167,8,5,13,2,5,0,0,0,5,3,7,11,20.6,0,0,22.0,1,44,44,44,34,64,66,55,1,3,1,40,14,57,9,17,5,8,2,51,48,1,69,35,66,22,67,29,1,61,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701150,2018-04-01T00:00:00,OKC @ NOP,W,36.29,6,9,0.667,0,0,0.0,2,4,0.5,7,3,10,1,6,0,1,1,2,3,14,-3,24.5,1,0,27.0,1,1,1,1,18,29,36,29,1,3,1,25,27,38,12,43,24,25,1,51,20,40,17,35,31,49,58,1,1,43,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701133,2018-03-30T00:00:00,OKC vs. DEN,L,33.983333333333334,3,8,0.375,0,0,0.0,1,4,0.25,5,5,10,5,0,4,0,2,1,3,7,-8,38.5,0,0,30.0,1,44,44,44,27,64,48,70,1,3,1,40,27,52,36,17,24,1,63,4,48,69,3,35,66,62,17,29,1,33,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701126,2018-03-29T00:00:00,OKC @ SAS,L,37.373333333333335,5,11,0.455,0,0,0.0,0,2,0.0,5,8,13,1,2,0,0,2,3,3,10,10,25.1,1,0,24.0,1,44,44,44,12,41,17,62,1,3,1,58,46,58,36,1,5,25,20,51,48,69,30,35,57,23,57,1,1,55,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701100,2018-03-25T00:00:00,OKC vs. POR,L,35.86666666666667,8,14,0.571,0,0,0.0,2,2,1.0,9,1,10,1,2,0,2,1,2,2,18,-6,35.5,1,0,33.0,1,44,44,44,19,12,3,49,1,3,1,25,46,1,4,69,24,25,20,51,9,40,17,57,15,56,23,1,1,20,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701084,2018-03-23T00:00:00,OKC vs. MIA,W,31.283333333333335,9,13,0.692,0,0,0.0,6,11,0.545,6,6,12,1,0,1,0,0,4,8,24,4,42.9,1,0,39.0,1,1,1,1,52,7,4,27,1,3,1,3,3,37,24,5,11,25,63,23,48,1,52,3,4,37,7,1,1,6,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701059,2018-03-20T00:00:00,OKC @ BOS,L,37.25,4,7,0.571,0,0,0.0,6,10,0.6,3,4,7,2,1,0,0,0,1,6,14,7,24.4,0,0,23.0,1,44,44,44,13,53,61,49,1,3,1,3,4,29,50,34,55,8,38,51,48,1,3,8,31,32,59,29,1,56,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701046,2018-03-18T00:00:00,OKC @ TOR,W,33.45,10,13,0.769,0,0,0.0,5,9,0.556,5,3,8,4,2,1,0,0,3,6,25,20,41.6,0,0,39.0,1,1,1,1,31,4,4,18,1,3,1,9,7,36,36,43,44,2,20,23,48,1,30,8,2,9,11,29,1,6,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701032,2018-03-16T00:00:00,OKC vs. LAC,W,37.96666666666667,8,15,0.533,0,0,0.0,2,4,0.5,10,4,14,1,4,3,5,0,2,2,18,-2,56.3,1,0,49.0,1,1,1,1,9,12,2,54,1,3,1,25,27,38,2,34,2,25,3,6,1,1,17,57,15,46,1,1,1,1,1
2017-18,203500,Steven Adams,Steven,1610612760,OKC,Oklahoma City Thunder,0021701003,2018-03-12T00:00:00,OKC vs. SAC,W,22.683333333333334,3,5,0.6,0,0,0.0,0,0,0.0,3,3,6,2,0,0,2,0,2,4,6,9,22.2,0,0,18.0,1,1,1,1,75,64,70,44,1,3,1,58,65,58,50,43,62,8,63,51,9,1,17,25,70,26,64,29,1,68,1
