SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0022101230,2022-04-10T00:00:00,UTA @ POR,W,5.666666666666667,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,2,0,0,0,0,2,0,3,1,6.0,0,0,6.0,1,1,1,1,59,53,57,35,35,43,22,34,34,34,22,52,57,28,44,36,20,1,36,45,55,22,57,3,1,57,1
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0022101194,2022-04-06T00:00:00,UTA vs. OKC,W,14.133333333333333,3,4,0.75,2,3,0.667,1,1,1.0,0,3,3,2,0,1,0,0,0,1,9,24,18.6,0,0,18.0,1,1,1,1,54,36,53,2,14,43,3,19,31,1,22,19,25,28,44,10,20,1,1,27,36,1,34,3,1,36,1
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0022101150,2022-03-31T00:00:00,UTA vs. LAL,W,2.1333333333333333,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,-5,2.0,0,0,2.0,1,1,1,1,64,57,59,57,50,57,50,34,34,34,22,52,57,52,25,10,20,1,1,45,58,41,61,3,1,60,1
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0022101121,2022-03-27T00:00:00,UTA @ DAL,L,9.016666666666667,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,0,2.0,1,30,30,30,56,57,57,57,50,57,50,34,34,34,22,52,57,52,44,36,5,1,1,45,58,26,60,3,1,60,1
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0022101087,2022-03-23T00:00:00,UTA @ BOS,L,4.783333333333333,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,0,1,0,3,1,3.5,0,0,5.0,1,30,30,30,61,53,59,1,35,57,1,34,34,34,22,52,57,44,25,36,20,1,16,45,55,22,59,3,1,58,1
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0022101067,2022-03-20T00:00:00,UTA @ NYK,W,17.966666666666665,0,6,0.0,0,6,0.0,0,0,0.0,0,4,4,1,2,0,2,0,2,1,0,-3,10.3,0,0,9.0,1,1,1,1,51,57,50,57,50,22,50,34,34,34,22,8,10,44,17,36,1,1,36,27,58,35,52,3,1,55,1
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0022101055,2022-03-18T00:00:00,UTA vs. LAC,W,32.61666666666667,5,12,0.417,2,6,0.333,1,1,1.0,0,4,4,5,1,1,0,2,4,1,13,-5,27.3,0,0,26.0,1,1,1,1,9,17,25,24,14,22,22,19,31,1,22,8,10,4,25,10,20,54,59,27,22,41,15,3,1,17,1
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0022101041,2022-03-16T00:00:00,UTA vs. CHI,W,22.316666666666666,4,8,0.5,3,5,0.6,5,6,0.833,0,4,4,0,1,2,0,0,3,4,16,15,25.8,0,0,27.0,1,1,1,1,39,26,46,7,7,35,8,4,3,15,22,8,10,52,25,2,20,1,51,3,10,3,19,3,1,11,1
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0022101027,2022-03-14T00:00:00,UTA vs. MIL,L,3.85,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,30,30,30,62,57,63,57,50,61,50,34,34,34,22,52,57,52,44,36,20,1,1,45,58,26,64,3,1,64,1
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0022101002,2022-03-11T00:00:00,UTA @ SAS,L,6.533333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,-6,1.2,0,0,1.0,1,30,30,30,58,57,59,57,50,61,50,34,34,34,22,38,47,52,44,36,20,1,1,45,58,46,62,3,1,62,1
